gene	mean_expr	CV	log2FC	padj	description
g3549	566.5	0.3022	0.620	0.2003	sp|Q08CG8|RNF44_DANRE RING finger protein 44 OS=Danio rerio OX=7955 GN=rnf44 PE=2 SV=1
g6621	454.3	0.1766	0.382	0.4928	sp|Q6PUF4|DHI1L_CHICK Hydroxysteroid 11-beta-dehydrogenase 1-like protein OS=Gallus gallus OX=9031 GN=HSD11B1L PE=2 SV=1
g9445	453.5	0.1757	-0.488	0.1940	sp|Q8H1G3|MTPC4_ARATH Metal tolerance protein C4 OS=Arabidopsis thaliana OX=3702 GN=MTPC4 PE=2 SV=1
g9320	469.0	0.1932	-0.281	0.6922	sp|B7L0T1|RL15_METC4 Large ribosomal subunit protein uL15 OS=Methylorubrum extorquens (strain CM4 / NCIMB 13688) OX=440085 GN=rplO PE=3 SV=1
g7169	575.9	0.3133	0.660	0.2153	
g3724	545.5	0.2793	0.465	0.5219	sp|P55189|YBAR_BACSU Putative sulfate transporter YbaR OS=Bacillus subtilis (strain 168) OX=224308 GN=ybaR PE=3 SV=2
g4418	483.9	0.2101	-0.075	0.9509	
g1290	495.0	0.2225	0.006	0.9946	sp|Q8ICR0|CDPK2_PLAF7 Calcium-dependent protein kinase 2 OS=Plasmodium falciparum (isolate 3D7) OX=36329 GN=CDPK2 PE=1 SV=4
g10789	601.7	0.3425	0.008	0.9944	
g5753	542.6	0.2761	-0.265	0.7711	
g895	533.2	0.2657	-0.301	0.6831	
g4685	423.0	0.1420	0.363	0.4700	sp|Q2U0S9|MCD4_ASPOR GPI ethanolamine phosphate transferase 1 OS=Aspergillus oryzae (strain ATCC 42149 / RIB 40) OX=510516 GN=mcd4 PE=3 SV=1
g3420	670.3	0.4202	0.143	0.9135	sp|Q9FDW1|MYB44_ARATH Transcription factor MYB44 OS=Arabidopsis thaliana OX=3702 GN=MYB44 PE=1 SV=1
g15270	449.0	0.1715	0.270	0.6951	sp|Q54TS4|YIPF1_DICDI Protein YIPF1 homolog OS=Dictyostelium discoideum OX=44689 GN=yipf1 PE=3 SV=1
g3918	427.9	0.1482	0.358	0.4852	
g5931	511.0	0.2420	-0.019	0.9860	sp|P75863|YCBX_ECOLI 6-hydroxylaminopurine reductase YcbX OS=Escherichia coli (strain K12) OX=83333 GN=ycbX PE=1 SV=1
g3249	507.9	0.2389	-0.117	0.9138	sp|F4IRR2|SAD2_ARATH Importin beta-like SAD2 OS=Arabidopsis thaliana OX=3702 GN=SAD2 PE=1 SV=1
g2357	420.3	0.1402	0.295	0.5919	
g15347	391.7	0.1087	-0.231	0.7382	
g15590	483.0	0.2119	-0.488	0.2773	
g13651	377.8	0.0932	0.116	0.9126	
g14839	408.7	0.1282	-0.184	0.8141	sp|P54644|KRAC_DICDI RAC family serine/threonine-protein kinase homolog OS=Dictyostelium discoideum OX=44689 GN=pkbA PE=1 SV=1
g14038	333.3	0.0434	-0.049	0.9685	sp|B0G163|EXOC5_DICDI Exocyst complex component 5 OS=Dictyostelium discoideum OX=44689 GN=exoc5 PE=3 SV=1
g2283	442.6	0.1673	-0.429	0.3146	sp|O82631|CAPZA_ARATH F-actin-capping protein subunit alpha OS=Arabidopsis thaliana OX=3702 GN=At3g05520 PE=2 SV=2
g6283	505.8	0.2388	0.203	0.8157	
g118	432.5	0.1561	0.388	0.4018	sp|Q8C547|HTR5B_MOUSE HEAT repeat-containing protein 5B OS=Mus musculus OX=10090 GN=Heatr5b PE=1 SV=3
g3940	356.7	0.0707	-0.023	0.9848	sp|Q6Z844|COPZ2_ORYSJ Coatomer subunit zeta-2 OS=Oryza sativa subsp. japonica OX=39947 GN=COPZ2 PE=2 SV=1
g1530	373.7	0.0900	0.166	0.8563	sp|Q6BJ96|SMP3_DEBHA GPI mannosyltransferase 4 OS=Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) OX=284592 GN=SMP3 PE=3 SV=2
g263	381.7	0.0992	-0.079	0.9473	sp|Q54CR8|MOB1B_DICDI MOB kinase activator-like 1 homolog B OS=Dictyostelium discoideum OX=44689 GN=mobB PE=3 SV=1
g10467	799.0	0.5727	-0.571	0.3734	sp|F0KFI5|CNTA_ACIP2 Carnitine monooxygenase oxygenase subunit OS=Acinetobacter pittii (strain PHEA-2) OX=871585 GN=yeaW PE=1 SV=1
g5526	411.9	0.1338	0.206	0.8269	
g1112	537.7	0.2765	-0.116	0.9075	sp|P23599|1A11_CUCMA 1-aminocyclopropane-1-carboxylate synthase CMW33 OS=Cucurbita maxima OX=3661 GN=ACS1 PE=2 SV=1
g2064	411.6	0.1339	0.270	0.6888	sp|Q96PV6|LENG8_HUMAN Leukocyte receptor cluster member 8 OS=Homo sapiens OX=9606 GN=LENG8 PE=1 SV=3
g15918	467.4	0.1974	-0.221	0.8226	sp|F1RE57|DHC3A_DANRE Palmitoyltransferase ZDHHC3-A OS=Danio rerio OX=7955 GN=zdhhc3a PE=1 SV=1
g6399	396.7	0.1172	0.104	0.9284	
g3449	420.7	0.1446	-0.234	0.7470	sp|Q9LU44|SF1_ARATH Splicing factor-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=SF1 PE=1 SV=1
g2265	552.7	0.2950	-0.541	0.1456	sp|O93336|HS2ST_XENLA Heparan sulfate 2-O-sulfotransferase 1 OS=Xenopus laevis OX=8355 GN=hs2st1 PE=2 SV=1
g11846	350.5	0.0654	-0.064	0.9585	sp|O95372|LYPA2_HUMAN Acyl-protein thioesterase 2 OS=Homo sapiens OX=9606 GN=LYPLA2 PE=1 SV=1
g12684	517.4	0.2558	-0.510	0.1915	sp|Q9UTG4|RS26B_SCHPO Small ribosomal subunit protein eS26B OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rps2602 PE=1 SV=1
g7248	413.2	0.1373	0.235	0.7341	sp|Q5ZIK9|COPE_CHICK Coatomer subunit epsilon OS=Gallus gallus OX=9031 GN=COPE PE=2 SV=1
g9364	450.1	0.1796	-0.126	0.9135	
g3261	460.0	0.1909	-0.311	0.6822	sp|A0A0R4IWG9|GCNA_DANRE Germ cell nuclear acidic protein OS=Danio rerio OX=7955 GN=gcna PE=3 SV=1
g14302	375.7	0.0951	0.248	0.7060	sp|O75533|SF3B1_HUMAN Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3
g4732	340.5	0.0551	0.032	0.9790	sp|Q8LPF0|TAF2_ARATH Transcription initiation factor TFIID subunit 2 OS=Arabidopsis thaliana OX=3702 GN=TAF2 PE=2 SV=1
g13552	395.6	0.1186	-0.186	0.8457	
g1671	478.9	0.2139	-0.231	0.7333	sp|Q5ZIM5|MAP1_CHICK Methionine aminopeptidase 1 OS=Gallus gallus OX=9031 GN=METAP1 PE=2 SV=1
g1038	511.8	0.2516	-0.594	0.0824	sp|Q08759|MYB_XENLA Transcriptional activator Myb OS=Xenopus laevis OX=8355 GN=myb PE=2 SV=1
g11041	520.8	0.2623	-0.247	0.6943	sp|Q5P6Y5|PYRC_AROAE Dihydroorotase OS=Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1) OX=76114 GN=pyrC PE=3 SV=1
g6695	379.7	0.1012	0.036	0.9788	sp|Q7JXF5|NUP62_DROME Nuclear pore glycoprotein p62 OS=Drosophila melanogaster OX=7227 GN=Nup62 PE=1 SV=1
g5347	348.0	0.0651	-0.026	0.9848	sp|P55735|SEC13_HUMAN Protein SEC13 homolog OS=Homo sapiens OX=9606 GN=SEC13 PE=1 SV=3
g3753	434.8	0.1649	-0.434	0.2970	sp|Q24799|MYPH_ECHGR Myophilin OS=Echinococcus granulosus OX=6210 PE=2 SV=1
g303	473.0	0.2088	0.381	0.5339	sp|Q6GPV5|RN181_XENLA E3 ubiquitin-protein ligase RNF181 OS=Xenopus laevis OX=8355 GN=rnf181 PE=2 SV=1
g13489	432.1	0.1621	-0.091	0.9370	sp|Q8BL74|TF3C2_MOUSE General transcription factor 3C polypeptide 2 OS=Mus musculus OX=10090 GN=Gtf3c2 PE=2 SV=2
g2674	473.9	0.2103	-0.488	0.2753	
g4143	372.6	0.0942	0.221	0.7685	sp|Q2QAV0|TIO_ARATH Serine/threonine-protein kinase TIO OS=Arabidopsis thaliana OX=3702 GN=TIO PE=1 SV=1
g13929	424.7	0.1543	-0.154	0.8827	sp|Q10323|IMT3_SCHPO Inositol phosphoceramide mannosyltransferase 3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC17G8.11c PE=1 SV=1
g3951	579.8	0.3326	0.501	0.2475	sp|Q6NYL3|ECHP_DANRE Peroxisomal bifunctional enzyme OS=Danio rerio OX=7955 GN=ehhadh PE=2 SV=1
g2984	387.7	0.1121	0.118	0.9178	sp|Q757H2|CSR1_EREGS Phosphatidylinositol transfer protein CSR1 OS=Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) OX=284811 GN=CSR1 PE=3 SV=2
g7258	585.9	0.3407	-0.078	0.9427	sp|Q9SJ20|RIR1_ARATH Ribonucleoside-diphosphate reductase large subunit OS=Arabidopsis thaliana OX=3702 GN=RNR1 PE=1 SV=1
g953	513.1	0.2570	-0.302	0.6511	
g9287	803.0	0.5917	0.670	0.3185	
g7064	430.9	0.1630	0.249	0.7060	sp|O05394|MCCB_BACSU Cystathionine gamma-lyase OS=Bacillus subtilis (strain 168) OX=224308 GN=mccB PE=1 SV=1
g2721	387.1	0.1126	-0.002	0.9978	
g9643	356.3	0.0772	-0.082	0.9451	sp|Q9MZG3|DBIL5_BOVIN Diazepam-binding inhibitor-like 5 OS=Bos taurus OX=9913 GN=DBIL5 PE=2 SV=1
g4380	394.3	0.1211	0.173	0.8480	sp|B0R0T1|VWA8_DANRE von Willebrand factor A domain-containing protein 8 OS=Danio rerio OX=7955 GN=vwa8 PE=3 SV=1
g12892	455.2	0.1914	0.079	0.9609	
g2085	386.3	0.1127	-0.046	0.9704	sp|P34519|TXTP_CAEEL Putative tricarboxylate transport protein, mitochondrial OS=Caenorhabditis elegans OX=6239 GN=K11H3.3 PE=3 SV=1
g2944	492.0	0.2360	-0.123	0.9404	
g7108	483.8	0.2265	0.183	0.8127	
g769	584.6	0.3434	-0.394	0.5309	sp|Q9LFS8|SMC5_ARATH Structural maintenance of chromosomes protein 5 OS=Arabidopsis thaliana OX=3702 GN=SMC5 PE=2 SV=1
g11789	346.3	0.0676	-0.050	0.9680	sp|P33731|SRP72_CANLF Signal recognition particle subunit SRP72 OS=Canis lupus familiaris OX=9615 GN=SRP72 PE=1 SV=3
g9395	423.5	0.1571	0.309	0.6360	
g6823	354.5	0.0772	-0.023	0.9848	sp|Q4WZF1|MVP1_ASPFU Sorting nexin mvp1 OS=Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) OX=330879 GN=mvp1 PE=3 SV=1
g5843	425.6	0.1598	-0.458	0.2400	sp|Q00526|CDK3_HUMAN Cyclin-dependent kinase 3 OS=Homo sapiens OX=9606 GN=CDK3 PE=1 SV=1
g3884	456.3	0.1959	0.261	0.6659	
g5569	500.2	0.2480	-0.310	0.6131	
g13652	383.2	0.1121	-0.071	0.9553	sp|A0A125YZN2|CETN2_TOXGM Centrin-2 OS=Toxoplasma gondii (strain ATCC 50611 / Me49) OX=508771 GN=CEN2 PE=1 SV=1
g10835	384.2	0.1134	0.150	0.8704	sp|E1BNG3|ASCC3_BOVIN Activating signal cointegrator 1 complex subunit 3 OS=Bos taurus OX=9913 GN=ascc3 PE=3 SV=1
g12494	395.0	0.1261	0.326	0.5524	
g9055	498.1	0.2460	-0.083	0.9404	sp|Q9SJJ7|ATL57_ARATH RING-H2 finger protein ATL57 OS=Arabidopsis thaliana OX=3702 GN=ATL57 PE=2 SV=1
g1804	421.1	0.1565	0.074	0.9474	
g288	395.6	0.1271	-0.194	0.8337	sp|Q5HZK1|CEP44_MOUSE Centrosomal protein of 44 kDa OS=Mus musculus OX=10090 GN=Cep44 PE=2 SV=1
g11234	426.2	0.1627	-0.095	0.9433	sp|P61460|DEPD5_MOUSE GATOR1 complex protein DEPDC5 OS=Mus musculus OX=10090 GN=Depdc5 PE=1 SV=2
g935	460.2	0.2024	0.445	0.3672	
g10506	440.9	0.1801	0.026	0.9849	
g15912	407.3	0.1414	0.250	0.7105	sp|Q8K2H4|ACAP1_MOUSE Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Acap1 PE=1 SV=1
g4553	384.0	0.1143	0.215	0.7874	
g14135	355.7	0.0815	-0.124	0.9119	
g4628	589.1	0.3538	-0.023	0.9848	sp|Q02127|PYRD_HUMAN Dihydroorotate dehydrogenase (quinone), mitochondrial OS=Homo sapiens OX=9606 GN=DHODH PE=1 SV=3
g13801	459.0	0.2025	0.278	0.6774	sp|Q5TEA6|SE1L2_HUMAN Protein sel-1 homolog 2 OS=Homo sapiens OX=9606 GN=SEL1L2 PE=1 SV=2
g11048	420.2	0.1572	-0.004	0.9974	sp|H9BW96|RAB7_EPICO Ras-related protein rab7 OS=Epinephelus coioides OX=94232 GN=rab7 PE=1 SV=1
g4331	408.7	0.1444	0.391	0.3910	
g4349	509.3	0.2626	0.238	0.7729	
g4449	486.8	0.2371	0.554	0.0949	sp|Q05609|CTR1_ARATH Serine/threonine-protein kinase CTR1 OS=Arabidopsis thaliana OX=3702 GN=CTR1 PE=1 SV=1
g12725	496.8	0.2492	0.412	0.5498	sp|P55844|RL14_PEA Large ribosomal subunit protein eL14 OS=Pisum sativum OX=3888 PE=2 SV=1
g4578	327.0	0.0502	-0.048	0.9689	
g8941	646.0	0.4244	0.522	0.1499	
g15451	335.6	0.0603	0.133	0.8965	
g2267	417.1	0.1560	0.292	0.6293	sp|Q9NS00|C1GLT_HUMAN Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 OS=Homo sapiens OX=9606 GN=C1GALT1 PE=1 SV=1
g15345	412.1	0.1502	0.386	0.4071	sp|P52192|IRK1_CAEEL Inward rectifier potassium channel irk-1 OS=Caenorhabditis elegans OX=6239 GN=irk-1 PE=2 SV=2
g5800	496.2	0.2492	0.569	0.1875	sp|I3XHK1|FANCM_ARATH DEAD-box ATP-dependent RNA helicase FANCM OS=Arabidopsis thaliana OX=3702 GN=FANCM PE=2 SV=1
g10361	556.9	0.3207	0.099	0.9461	sp|Q93Y08|AB1K8_ARATH Protein ACTIVITY OF BC1 COMPLEX KINASE 8, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ABC1K8 PE=2 SV=1
g15211	431.2	0.1732	0.001	0.9994	sp|P32793|YSC84_YEAST Protein YSC84 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YSC84 PE=1 SV=2
g7352	394.5	0.1302	-0.196	0.8335	sp|P50108|MNN10_YEAST Probable alpha-1,6-mannosyltransferase MNN10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MNN10 PE=1 SV=1
g3858	441.1	0.1852	0.228	0.8050	sp|Q9PUB8|S39A7_DANRE Zinc transporter Slc39a7 OS=Danio rerio OX=7955 GN=slc39a7 PE=2 SV=2
g6886	412.7	0.1519	0.021	0.9851	sp|P08760|KAD3_BOVIN GTP:AMP phosphotransferase AK3, mitochondrial OS=Bos taurus OX=9913 GN=AK3 PE=1 SV=3
g695	426.0	0.1678	0.200	0.8508	
g9704	435.3	0.1791	-0.303	0.6041	sp|P43903|QOR_PSEAE Quinone oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=qor PE=3 SV=2
g11092	379.4	0.1135	0.026	0.9848	sp|Q5ZMS4|NCOA7_CHICK Nuclear receptor coactivator 7 OS=Gallus gallus OX=9031 GN=NCOA7 PE=2 SV=1
g2295	576.1	0.3455	-0.846	0.0594	sp|Q9BRL6|SRSF8_HUMAN Serine/arginine-rich splicing factor 8 OS=Homo sapiens OX=9606 GN=SRSF8 PE=1 SV=1
g15179	471.4	0.2222	0.343	0.5468	sp|C9WMM5|VCP_APIME Venom serine carboxypeptidase OS=Apis mellifera OX=7460 PE=2 SV=1
g8536	346.7	0.0756	-0.015	0.9899	sp|Q9WVL3|S12A7_MOUSE Solute carrier family 12 member 7 OS=Mus musculus OX=10090 GN=Slc12a7 PE=1 SV=1
g5819	357.7	0.0888	-0.162	0.8563	sp|Q9LQK0|DRG1_ARATH Developmentally-regulated G protein 1 OS=Arabidopsis thaliana OX=3702 GN=DRG1 PE=1 SV=1
g2221	420.8	0.1635	-0.027	0.9849	sp|B8AT51|SPXM2_ORYSI SPX domain-containing membrane protein OsI_17046 OS=Oryza sativa subsp. indica OX=39946 GN=OsI_17046 PE=3 SV=1
g5768	469.5	0.2218	0.413	0.4080	sp|Q0VFL7|RALYL_XENTR RNA-binding Raly-like protein OS=Xenopus tropicalis OX=8364 GN=ralyl PE=2 SV=1
g4779	448.4	0.1972	0.302	0.5901	sp|Q8T1C6|GNT1_DICDI [Skp1-protein]-hydroxyproline N-acetylglucosaminyltransferase OS=Dictyostelium discoideum OX=44689 GN=gnt1 PE=1 SV=2
g6460	446.1	0.1951	0.349	0.4606	
g15515	333.5	0.0622	0.148	0.8777	sp|Q2RBJ6|P2C73_ORYSJ Probable protein phosphatase 2C 73 OS=Oryza sativa subsp. japonica OX=39947 GN=Os11g0109000 PE=2 SV=1
g12206	384.3	0.1228	-0.272	0.6888	
g12705	350.5	0.0829	0.123	0.9126	sp|F4JY37|RUK_ARATH Serine/threonine-protein kinase RUNKEL OS=Arabidopsis thaliana OX=3702 GN=RUK PE=1 SV=1
g13128	382.6	0.1213	0.221	0.7717	sp|Q5XI57|TTL10_RAT Protein polyglycylase TTLL10 OS=Rattus norvegicus OX=10116 GN=Ttll10 PE=2 SV=2
g15937	699.4	0.4992	0.632	0.1924	sp|A3LQW7|DBP2_PICST ATP-dependent RNA helicase DBP2 OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=DBP2 PE=3 SV=1
g13504	537.6	0.3065	0.319	0.6384	sp|Q42479|CDPK3_ARATH Calcium-dependent protein kinase 3 OS=Arabidopsis thaliana OX=3702 GN=CPK3 PE=1 SV=1
g11515	393.8	0.1355	0.025	0.9848	sp|Q6J6J0|BRCA1_PONPY Breast cancer type 1 susceptibility protein homolog OS=Pongo pygmaeus OX=9600 GN=BRCA1 PE=3 SV=1
g12670	568.0	0.3434	0.666	0.0516	sp|Q5FYB1|ARSI_HUMAN Arylsulfatase I OS=Homo sapiens OX=9606 GN=ARSI PE=1 SV=1
g5288	545.3	0.3163	-0.350	0.5774	sp|Q9NR30|DDX21_HUMAN Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5
g2048	383.7	0.1242	0.019	0.9851	sp|P48467|KINH_NEUCR Kinesin heavy chain OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=kin PE=1 SV=2
g12902	500.7	0.2636	-0.337	0.4760	sp|P55871|IF2B_MALDO Eukaryotic translation initiation factor 2 subunit beta OS=Malus domestica OX=3750 PE=2 SV=2
g7179	406.5	0.1513	0.110	0.9165	sp|E1BP36|MMS19_BOVIN MMS19 nucleotide excision repair protein homolog OS=Bos taurus OX=9913 GN=MMS19 PE=2 SV=3
g7148	313.0	0.0399	0.038	0.9750	sp|Q86AQ5|RPC1_DICDI DNA-directed RNA polymerase III subunit rpc1 OS=Dictyostelium discoideum OX=44689 GN=polr3a PE=3 SV=1
g6282	352.0	0.0865	-0.083	0.9450	
g13521	434.7	0.1853	-0.438	0.3531	sp|P47934|CACP_MOUSE Carnitine O-acetyltransferase OS=Mus musculus OX=10090 GN=Crat PE=1 SV=3
g12514	525.2	0.2935	-0.219	0.8682	sp|F1QB54|PABPA_DANRE Polyadenylate-binding protein 1A OS=Danio rerio OX=7955 GN=pabpc1a PE=1 SV=1
g10137	400.4	0.1451	0.082	0.9509	sp|Q3SZL9|TM50B_BOVIN Transmembrane protein 50B OS=Bos taurus OX=9913 GN=TMEM50B PE=2 SV=1
g296	405.9	0.1519	-0.265	0.6737	sp|Q54D06|UBE2V_DICDI Probable ubiquitin-conjugating enzyme E2 variant OS=Dictyostelium discoideum OX=44689 GN=ube2v PE=3 SV=1
g13170	446.2	0.2006	-0.360	0.4758	sp|Q0VA39|GALC_XENTR Galactocerebrosidase OS=Xenopus tropicalis OX=8364 GN=galc PE=2 SV=1
g2715	404.8	0.1510	0.252	0.7364	
g147	538.5	0.3112	0.035	0.9788	sp|Q0CPF9|EIF3G_ASPTN Eukaryotic translation initiation factor 3 subunit G OS=Aspergillus terreus (strain NIH 2624 / FGSC A1156) OX=341663 GN=tif35 PE=3 SV=1
g3546	430.1	0.1816	0.207	0.7997	sp|Q54IP0|DNJC7_DICDI DnaJ homolog subfamily C member 7 homolog OS=Dictyostelium discoideum OX=44689 GN=dnajc7 PE=1 SV=1
g609	340.7	0.0750	0.064	0.9611	sp|D9N164|IRK10_PARME Inward rectifier potassium channel Kirbac3.1 OS=Paramagnetospirillum magnetotacticum OX=188 PE=1 SV=2
g10191	366.2	0.1057	-0.019	0.9865	
g9010	357.6	0.0954	-0.143	0.8877	
g3044	712.3	0.5207	0.771	0.2202	sp|O81187|GLRX_VERFO Glutaredoxin OS=Vernicia fordii OX=73154 PE=3 SV=1
g1650	458.7	0.2167	0.391	0.4185	sp|Q9M8K7|DUS1B_ARATH Dual specificity protein phosphatase 1B OS=Arabidopsis thaliana OX=3702 GN=DSPTP1B PE=1 SV=1
g5669	394.3	0.1396	0.343	0.5276	
g1649	441.3	0.1961	-0.213	0.7976	sp|P87027|SPG1_SCHPO Septum-promoting GTP-binding protein 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=spg1 PE=1 SV=1
g11855	462.5	0.2217	-0.166	0.8333	sp|Q5LS56|ACUI_RUEPO Acrylyl-CoA reductase AcuI OS=Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3) OX=246200 GN=acuI PE=1 SV=1
g14037	445.0	0.2007	0.445	0.2603	sp|P9WJV8|MMPL1_MYCTO Probable transport protein MmpL1 OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) OX=83331 GN=mmpL1 PE=3 SV=1
g4619	393.1	0.1385	0.078	0.9488	sp|Q9SID8|RAH1D_ARATH Ras-related protein RABH1d OS=Arabidopsis thaliana OX=3702 GN=RABH1D PE=3 SV=1
g1446	666.8	0.4677	0.579	0.1085	
g5588	474.2	0.2364	0.139	0.9126	
g4039	334.5	0.0686	0.050	0.9683	sp|F4I2J8|CATIN_ARATH Splicing factor Cactin OS=Arabidopsis thaliana OX=3702 GN=CTN PE=1 SV=1
g10369	435.7	0.1901	0.326	0.6936	sp|Q8TFG6|PPK18_SCHPO Serine/threonine-protein kinase ppk18 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ppk18 PE=3 SV=2
g14971	487.8	0.2529	-0.188	0.8245	
g12688	319.7	0.0510	0.100	0.9323	sp|Q96I24|FUBP3_HUMAN Far upstream element-binding protein 3 OS=Homo sapiens OX=9606 GN=FUBP3 PE=1 SV=2
g14030	470.4	0.2322	-0.234	0.7391	sp|Q42191|OXA1_ARATH Mitochondrial inner membrane protein OXA1 OS=Arabidopsis thaliana OX=3702 GN=OXA1 PE=2 SV=2
g12330	482.4	0.2466	-0.367	0.5423	sp|Q8BQQ1|ZDH14_MOUSE Palmitoyltransferase ZDHHC14 OS=Mus musculus OX=10090 GN=Zdhhc14 PE=1 SV=1
g9605	389.0	0.1346	0.085	0.9417	
g12884	431.0	0.1852	-0.318	0.6500	sp|P62998|RAC1_BOVIN Ras-related C3 botulinum toxin substrate 1 OS=Bos taurus OX=9913 GN=RAC1 PE=1 SV=1
g9908	397.4	0.1451	0.192	0.8397	sp|Q8W034|RNP1_ARATH Heterogeneous nuclear ribonucleoprotein 1 OS=Arabidopsis thaliana OX=3702 GN=RNP1 PE=1 SV=1
g12312	331.9	0.0667	0.127	0.9099	sp|Q3TZM9|ALG11_MOUSE GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase OS=Mus musculus OX=10090 GN=Alg11 PE=2 SV=1
g9152	410.8	0.1621	0.360	0.5507	sp|Q949M3|FABG3_BRANA 3-oxoacyl-[acyl-carrier-protein] reductase 3, chloroplastic OS=Brassica napus OX=3708 GN=bkr3 PE=2 SV=1
g8588	402.4	0.1521	0.416	0.3585	sp|P51587|BRCA2_HUMAN Breast cancer type 2 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA2 PE=1 SV=4
g3575	454.6	0.2152	-0.076	0.9457	sp|P15395|TRPE_RHIME Anthranilate synthase OS=Rhizobium meliloti (strain 1021) OX=266834 GN=trpE(G) PE=4 SV=1
g6971	398.2	0.1473	0.121	0.9158	
g9309	359.9	0.1014	0.032	0.9811	sp|P0CD65|PAN3_DICDI PAN2-PAN3 deadenylation complex subunit pan3 OS=Dictyostelium discoideum OX=44689 GN=pan3 PE=3 SV=1
g13199	718.8	0.5351	0.097	0.9534	sp|Q9FE64|EFGM_ORYSJ Elongation factor G, mitochondrial OS=Oryza sativa subsp. japonica OX=39947 GN=Os03g0565500 PE=2 SV=2
g6644	523.8	0.2996	-0.287	0.7955	sp|Q6UPE0|CHDH_RAT Choline dehydrogenase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Chdh PE=1 SV=1
g7358	398.0	0.1476	0.325	0.5504	sp|A2YH41|ATR_ORYSI Serine/threonine-protein kinase ATR OS=Oryza sativa subsp. indica OX=39946 GN=OsI_023634 PE=3 SV=2
g9923	372.2	0.1169	0.110	0.9200	sp|Q9LKF9|CPSF2_ARATH Cleavage and polyadenylation specificity factor subunit 2 OS=Arabidopsis thaliana OX=3702 GN=CPSF100 PE=1 SV=2
g11286	495.8	0.2668	0.032	0.9788	
g5436	395.2	0.1451	-0.049	0.9685	sp|Q9C950|VIP5_ARATH Protein RTF1 homolog OS=Arabidopsis thaliana OX=3702 GN=VIP5 PE=1 SV=1
g28	362.9	0.1067	-0.027	0.9848	sp|Q9X248|FABG_THEMA 3-oxoacyl-[acyl-carrier-protein] reductase FabG OS=Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8) OX=243274 GN=fabG PE=3 SV=1
g10691	453.1	0.2161	-0.434	0.3672	sp|Q6Z9U7|MCES1_ORYSJ mRNA cap guanine-N(7) methyltransferase 1 OS=Oryza sativa subsp. japonica OX=39947 GN=Os08g0180000 PE=2 SV=1
g10318	376.0	0.1226	0.226	0.7470	sp|Q9I4U2|QUIP_PSEAE Acyl-homoserine lactone acylase QuiP OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=quiP PE=1 SV=1
g11392	420.1	0.1764	-0.300	0.6380	sp|Q39493|DSK1_CYLFU Diatom spindle kinesin-1 OS=Cylindrotheca fusiformis OX=2853 GN=DSK1 PE=2 SV=1
g2096	359.2	0.1027	-0.074	0.9534	sp|P61287|PP1G_BOVIN Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Bos taurus OX=9913 GN=PPP1CC PE=2 SV=1
g12186	398.0	0.1500	-0.274	0.6511	sp|P22125|RAB1_DIPOM Ras-related protein ORAB-1 OS=Diplobatis ommata OX=1870830 PE=2 SV=1
g820	549.0	0.3338	-0.731	0.1930	
