gene	scaf	strand	n_exons	n_introns	utr5_start	utr5_end	utr5_len	utr3_start	utr3_end	utr3_len	n_utr5_introns	first_intron_start	first_intron_end
g13145	Scaffolds_33	-	1	0			0			0	0		
g3260	Scaffolds_15	+	2	1			0	2633149	2634878	1730	0	2632946	2633027
g11603	Scaffolds_3	+	1	0			0			0	0		
g5218	Scaffolds_18	-	1	0			0			0	0		
g12732	Scaffolds_32	-	1	0			0			0	0		
g1653	Scaffolds_11	+	6	5			0	1451992	1452622	631	0	1448785	1448855
g3107	Scaffolds_15	+	1	0			0	2074787	2074924	138	0		
g12479	Scaffolds_31	-	1	0			0			0	0		
g12287	Scaffolds_31	-	1	0			0			0	0		
g9952	Scaffolds_26	+	1	0			0			0	0		
g15587	Scaffolds_8	+	1	0			0			0	0		
g10942	Scaffolds_29	-	1	0			0			0	0		
g1505	Scaffolds_11	+	1	0			0			0	0		
g5897	Scaffolds_19	-	1	0			0			0	0		
g12988	Scaffolds_33	-	1	0			0			0	0		
g13163	Scaffolds_33	-	2	1			0			0	0	1355306	1355666
g3855	Scaffolds_17	+	2	1			0			0	0	305903	306168
g7037	Scaffolds_20	-	1	0			0			0	0		
g251	Scaffolds_0	-	3	2			0			0	0	1034541	1034647
g6175	Scaffolds_2	-	2	1			0			0	0	515737	515869
g10491	Scaffolds_28	-	2	1			0			0	0	599164	599467
g3375	Scaffolds_16	-	1	0			0			0	0		
g7667	Scaffolds_21	+	1	0			0			0	0		
g7578	Scaffolds_21	-	1	0			0			0	0		
g689	Scaffolds_1	-	1	0			0			0	0		
g11489	Scaffolds_3	-	2	1			0			0	0	97553	97964
g1490	Scaffolds_11	+	1	0			0			0	0		
g14763	Scaffolds_5	-	1	0			0			0	0		
g6839	Scaffolds_20	+	1	0			0			0	0		
g677	Scaffolds_1	+	1	0			0			0	0		
g2539	Scaffolds_14	+	1	0			0			0	0		
g15348	Scaffolds_7	-	1	0			0			0	0		
g15409	Scaffolds_8	-	1	0	213257	217732	4476			0	0		
g10311	Scaffolds_27	-	1	0			0			0	0		
g6404	Scaffolds_2	-	3	2			0			0	0	1399036	1399081
g6811	Scaffolds_20	+	1	0			0	1423727	1424093	367	0		
g7445	Scaffolds_21	-	1	0			0			0	0		
g6618	Scaffolds_20	+	1	0			0			0	0		
g9019	Scaffolds_24	-	1	0			0			0	0		
g13705	Scaffolds_4	-	5	4			0			0	0	423441	423783
g13510	Scaffolds_33	+	3	2			0	2739284	2739625	342	0	2732645	2732798
g6417	Scaffolds_2	+	1	0			0			0	0		
g14660	Scaffolds_5	-	1	0			0			0	0		
g5775	Scaffolds_19	-	1	0			0			0	0		
g2537	Scaffolds_14	+	1	0			0			0	0		
g5703	Scaffolds_19	+	1	0			0			0	0		
g8901	Scaffolds_24	-	1	0			0			0	0		
g12421	Scaffolds_31	+	1	0			0			0	0		
g893	Scaffolds_10	-	1	0			0			0	0		
g14182	Scaffolds_4	-	1	0			0			0	0		
g7985	Scaffolds_22	-	1	0			0			0	0		
g5513	Scaffolds_19	-	1	0			0			0	0		
g14113	Scaffolds_4	-	1	0	1997540	1997787	248			0	0		
g509	Scaffolds_1	+	1	0			0			0	0		
g230	Scaffolds_0	-	1	0			0			0	0		
g5426	Scaffolds_19	+	1	0			0			0	0		
g3619	Scaffolds_16	+	1	0			0			0	0		
g12759	Scaffolds_32	-	1	0			0			0	0		
g9232	Scaffolds_24	-	1	0			0			0	0		
g3851	Scaffolds_17	+	1	0			0			0	0		
g891	Scaffolds_10	-	6	5			0			0	0	206267	206368
g167	Scaffolds_0	-	1	0			0			0	0		
g8132	Scaffolds_22	-	1	0			0			0	0		
g9183	Scaffolds_24	+	1	0			0	1327840	1327899	60	0		
g3976	Scaffolds_17	+	1	0			0			0	0		
g4003	Scaffolds_17	-	1	0			0			0	0		
g4012	Scaffolds_17	+	1	0			0			0	0		
g11453	Scaffolds_29	-	6	5	3195161	3195326	166			0	0	3194308	3194381
g11664	Scaffolds_3	+	1	0			0			0	0		
g7088	Scaffolds_21	-	4	3			0			0	0	180917	180990
g10086	Scaffolds_26	-	1	0			0			0	0		
g2356	Scaffolds_14	+	1	0			0			0	0		
g12844	Scaffolds_33	+	1	0			0			0	0		
g879	Scaffolds_10	-	5	4			0			0	0	159406	159711
g2051	Scaffolds_13	+	1	0			0			0	0		
g5741	Scaffolds_19	+	4	3			0	1473598	1474825	1228	0	1464962	1465262
g3593	Scaffolds_16	+	1	0			0			0	0		
g14470	Scaffolds_4	-	1	0			0			0	0		
g13880	Scaffolds_4	-	1	0			0			0	0		
g11230	Scaffolds_29	-	1	0			0			0	0		
g11761	Scaffolds_3	+	1	0			0			0	0		
g1456	Scaffolds_11	+	1	0			0	699441	700092	652	0		
g10009	Scaffolds_26	+	1	0			0			0	0		
g8498	Scaffolds_23	-	1	0			0			0	0		
g6010	Scaffolds_19	+	1	0			0			0	0		
g6440	Scaffolds_20	+	1	0			0			0	0		
g13236	Scaffolds_33	-	1	0			0			0	0		
g11391	Scaffolds_29	+	1	0			0	2959848	2960978	1131	0		
g15195	Scaffolds_6	+	21	20			0	945164	945195	32	0	937348	937778
g368	Scaffolds_0	-	4	3			0			0	0	1399018	1399141
g13946	Scaffolds_4	-	1	0			0			0	0		
g12062	Scaffolds_30	+	1	0			0			0	0		
g739	Scaffolds_1	-	1	0			0			0	0		
g11147	Scaffolds_29	-	3	2	2112613	2114113	1501			0	0	2112194	2112348
g1589	Scaffolds_11	+	1	0			0			0	0		
g906	Scaffolds_10	+	1	0			0			0	0		
g1469	Scaffolds_11	+	2	1			0	738874	739526	653	0	736449	737026
g1413	Scaffolds_11	-	1	0			0			0	0		
g5993	Scaffolds_19	-	1	0			0			0	0		
g3967	Scaffolds_17	+	1	0			0			0	0		
g13171	Scaffolds_33	+	1	0			0			0	0		
g11374	Scaffolds_29	+	1	0			0			0	0		
g14095	Scaffolds_4	+	1	0			0			0	0		
g300	Scaffolds_0	+	1	0			0			0	0		
g4726	Scaffolds_18	-	3	2	1797943	1797992	50			0	0	1796825	1796971
g1334	Scaffolds_11	-	1	0			0			0	0		
g13475	Scaffolds_33	+	1	0			0			0	0		
g12317	Scaffolds_31	+	3	2			0			0	0	483798	484511
g9563	Scaffolds_25	+	1	0			0			0	0		
g10082	Scaffolds_26	+	1	0			0			0	0		
g7684	Scaffolds_21	-	4	3			0			0	0	2516513	2516667
g3528	Scaffolds_16	+	1	0			0			0	0		
g6347	Scaffolds_2	-	1	0			0			0	0		
g949	Scaffolds_10	+	1	0			0			0	0		
g358	Scaffolds_0	+	1	0			0			0	0		
g4187	Scaffolds_17	-	2	1			0			0	0	1470431	1470930
g2346	Scaffolds_14	+	1	0			0			0	0		
g2211	Scaffolds_14	+	1	0			0			0	0		
g5921	Scaffolds_19	-	1	0			0			0	0		
g11120	Scaffolds_29	-	1	0			0			0	0		
g13876	Scaffolds_4	-	1	0			0			0	0		
g7240	Scaffolds_21	-	1	0			0			0	0		
g11720	Scaffolds_3	+	1	0			0			0	0		
g8071	Scaffolds_22	+	1	0			0			0	0		
g7401	Scaffolds_21	+	4	3			0	1350914	1351650	737	0	1350342	1350446
g2747	Scaffolds_15	-	1	0			0			0	0		
g10954	Scaffolds_29	-	2	1			0			0	0	1326586	1326703
g5668	Scaffolds_19	+	1	0			0	1174333	1174827	495	0		
g1097	Scaffolds_10	-	1	0			0			0	0		
g14993	Scaffolds_6	-	1	0			0			0	0		
g2191	Scaffolds_14	+	1	0			0			0	0		
g13174	Scaffolds_33	-	1	0	1407815	1407900	86			0	0		
g10229	Scaffolds_26	-	1	0			0			0	0		
g6711	Scaffolds_20	-	3	2	1027254	1028159	906			0	0	1023858	1024085
g11909	Scaffolds_3	+	3	2			0	1590542	1591623	1082	0	1588373	1588674
g6729	Scaffolds_20	+	1	0			0	1094410	1094619	210	0		
g13544	Scaffolds_33	+	1	0			0			0	0		
g7585	Scaffolds_21	+	1	0			0			0	0		
g10233	Scaffolds_26	+	1	0			0			0	0		
g13922	Scaffolds_4	+	2	1			0	1284770	1285458	689	0	1284546	1284755
g15467	Scaffolds_8	-	1	0			0			0	0		
g1316	Scaffolds_11	-	2	1			0			0	0	140594	141264
g6332	Scaffolds_2	-	1	0			0			0	0		
g14231	Scaffolds_4	+	1	0			0			0	0		
g5799	Scaffolds_19	+	1	0			0			0	0		
g4936	Scaffolds_18	-	1	0			0			0	0		
g4327	Scaffolds_18	+	1	0			0			0	0		
g13051	Scaffolds_33	-	1	0			0			0	0		
g1731	Scaffolds_12	-	1	0			0			0	0		
g4309	Scaffolds_18	+	1	0			0			0	0		
g4542	Scaffolds_18	+	2	1			0			0	0	1115011	1115229
g3298	Scaffolds_15	-	1	0			0			0	0		
g13455	Scaffolds_33	+	1	0			0			0	0		
g7762	Scaffolds_21	-	1	0	2836700	2837004	305			0	0		
g9350	Scaffolds_25	+	1	0			0			0	0		
g7341	Scaffolds_21	+	1	0			0			0	0		
g10517	Scaffolds_28	+	1	0			0			0	0		
g13250	Scaffolds_33	-	2	1			0			0	0	1659183	1659278
g8949	Scaffolds_24	+	2	1			0	284718	284791	74	0	283025	283066
g10190	Scaffolds_26	-	1	0			0			0	0		
g2416	Scaffolds_14	-	1	0			0			0	0		
g165	Scaffolds_0	-	4	3			0			0	0	705950	706159
g6658	Scaffolds_20	-	1	0			0			0	0		
g5817	Scaffolds_19	+	1	0			0			0	0		
g11271	Scaffolds_29	+	1	0			0			0	0		
g10769	Scaffolds_29	+	1	0			0			0	0		
g2982	Scaffolds_15	-	1	0			0			0	0		
g14498	Scaffolds_4	-	1	0			0			0	0		
g2746	Scaffolds_15	+	1	0			0			0	0		
g2076	Scaffolds_14	+	1	0			0			0	0		
g6000	Scaffolds_19	-	1	0			0			0	0		
g316	Scaffolds_0	+	1	0			0	1246159	1246383	225	0		
g11287	Scaffolds_29	-	6	5	2627659	2628607	949			0	0	2626245	2626326
g10946	Scaffolds_29	+	1	0			0			0	0		
g14564	Scaffolds_4	+	3	2			0	3760759	3761323	565	0	3759715	3759895
g14436	Scaffolds_4	+	1	0			0			0	0		
g5553	Scaffolds_19	-	1	0	827596	827655	60			0	0		
g11490	Scaffolds_3	+	1	0			0			0	0		
g10759	Scaffolds_29	+	1	0			0			0	0		
g5011	Scaffolds_18	+	1	0			0			0	0		
g4385	Scaffolds_18	-	1	0	512733	513060	328			0	0		
g13939	Scaffolds_4	-	2	1			0			0	0	1333118	1333297
g1320	Scaffolds_11	-	1	0			0			0	0		
g10134	Scaffolds_26	-	1	0			0			0	0		
g2046	Scaffolds_13	+	1	0			0	1064749	1065034	286	0		
g10382	Scaffolds_28	+	1	0			0			0	0		
g13657	Scaffolds_4	+	1	0			0			0	0		
g3401	Scaffolds_16	-	19	18	204764	204964	201			0	0	200608	200699
g9109	Scaffolds_24	-	1	0			0			0	0		
g3854	Scaffolds_17	+	3	2			0	304379	304683	305	0	302562	302640
g1641	Scaffolds_11	+	1	0			0	1405886	1405997	112	0		
g12320	Scaffolds_31	+	1	0			0			0	0		
g13045	Scaffolds_33	-	1	0			0			0	0		
g4388	Scaffolds_18	+	1	0			0			0	0		
g13566	Scaffolds_33	+	1	0			0			0	0		
g15393	Scaffolds_8	-	2	1	139403	139499	97			0	0	138839	139144
g7377	Scaffolds_21	+	1	0			0			0	0		
g5244	Scaffolds_18	+	1	0			0			0	0		
g10433	Scaffolds_28	+	5	4			0	350879	353262	2384	0	347857	347949
g6193	Scaffolds_2	+	4	3			0	558503	558638	136	0	556571	556918
g1391	Scaffolds_11	+	1	0			0			0	0		
g15453	Scaffolds_8	-	3	2	366161	366323	163			0	0	365510	365552
g15185	Scaffolds_6	+	1	0			0	903344	903552	209	0		
g10527	Scaffolds_28	+	4	3			0	738562	738867	306	0	730377	730582
g6817	Scaffolds_20	+	1	0			0	1444871	1444988	118	0		
g13472	Scaffolds_33	-	2	1			0			0	0	2574953	2575233
g1847	Scaffolds_13	+	1	0			0			0	0		
g3534	Scaffolds_16	+	1	0			0	655685	655824	140	0		
g14390	Scaffolds_4	+	1	0			0			0	0		
g9612	Scaffolds_25	-	1	0			0			0	0		
g5832	Scaffolds_19	+	1	0			0			0	0		
g9307	Scaffolds_24	-	3	2			0			0	0	1804856	1804980
g8695	Scaffolds_23	-	2	1			0			0	0	1383003	1383589
g6866	Scaffolds_20	-	1	0	1597085	1597092	8			0	0		
g1339	Scaffolds_11	+	1	0			0			0	0		
g2961	Scaffolds_15	-	1	0			0			0	0		
g12616	Scaffolds_32	+	1	0			0			0	0		
g12837	Scaffolds_33	-	1	0			0			0	0		
g10664	Scaffolds_29	-	1	0			0			0	0		
g759	Scaffolds_1	+	3	2			0	1061016	1062118	1103	0	1060072	1060140
g10986	Scaffolds_29	-	1	0			0			0	0		
g6116	Scaffolds_2	-	5	4	312436	312752	317			0	0	310469	310651
g13720	Scaffolds_4	+	1	0			0			0	0		
g2921	Scaffolds_15	-	1	0			0			0	0		
g9663	Scaffolds_25	-	2	1			0			0	0	1232775	1233503
g14450	Scaffolds_4	-	5	4	3380523	3380691	169			0	0	3377176	3377496
g8518	Scaffolds_23	-	1	0			0			0	0		
g576	Scaffolds_1	+	1	0			0			0	0		
g10874	Scaffolds_29	+	1	0			0			0	0		
g3930	Scaffolds_17	+	2	1			0	571988	572132	145	0	570874	570919
g11425	Scaffolds_29	-	1	0			0			0	0		
g10458	Scaffolds_28	+	1	0			0			0	0		
g8580	Scaffolds_23	-	1	0			0			0	0		
g732	Scaffolds_1	+	2	1			0			0	0	933284	933422
g15239	Scaffolds_7	+	2	1			0	145441	145486	46	0	141257	141400
g4376	Scaffolds_18	+	1	0			0			0	0		
g3752	Scaffolds_16	+	1	0			0	1396592	1396891	300	0		
g14521	Scaffolds_4	+	1	0			0			0	0		
g10983	Scaffolds_29	-	1	0			0			0	0		
g15052	Scaffolds_6	-	1	0			0			0	0		
g939	Scaffolds_10	-	1	0			0			0	0		
g10702	Scaffolds_29	+	1	0			0			0	0		
g14021	Scaffolds_4	-	1	0			0			0	0		
g1457	Scaffolds_11	-	1	0			0			0	0		
g9465	Scaffolds_25	-	1	0	515060	516228	1169			0	0		
g7565	Scaffolds_21	-	1	0	2014933	2014966	34			0	0		
g7100	Scaffolds_21	-	1	0			0			0	0		
g14690	Scaffolds_5	-	4	3	399975	401545	1571			0	0	399278	399400
g5836	Scaffolds_19	+	1	0			0			0	0		
g4577	Scaffolds_18	-	1	0			0			0	0		
g10171	Scaffolds_26	+	5	4			0	1600600	1601450	851	0	1599721	1599807
g12246	Scaffolds_31	+	3	2			0	225990	226067	78	0	225141	225366
g266	Scaffolds_0	+	1	0			0			0	0		
g10577	Scaffolds_28	+	3	2			0	949214	949446	233	0	947981	948170
g6310	Scaffolds_2	+	1	0			0	1022468	1022565	98	0		
g7150	Scaffolds_21	+	1	0			0			0	0		
g5536	Scaffolds_19	+	1	0			0			0	0		
g5673	Scaffolds_19	+	2	1			0			0	0	1204472	1204611
g1011	Scaffolds_10	+	1	0			0			0	0		
g11347	Scaffolds_29	+	2	1			0			0	0	2802559	2802737
g8005	Scaffolds_22	+	1	0			0	827624	827928	305	0		
g13498	Scaffolds_33	+	1	0			0			0	0		
g10999	Scaffolds_29	+	1	0			0			0	0		
g507	Scaffolds_1	+	1	0			0			0	0		
g1431	Scaffolds_11	+	1	0			0			0	0		
g15896	Scaffolds_9	+	1	0			0	219706	224779	5074	0		
g41	Scaffolds_0	-	1	0			0			0	0		
g4998	Scaffolds_18	-	1	0			0			0	0		
g8618	Scaffolds_23	+	1	0			0			0	0		
g15062	Scaffolds_6	-	1	0			0			0	0		
g10877	Scaffolds_29	-	1	0			0			0	0		
g10273	Scaffolds_26	-	2	1	2011766	2011772	7			0	0	2011579	2011691
g11987	Scaffolds_3	-	2	1			0			0	0	1867697	1868418
g8396	Scaffolds_23	+	3	2			0	251888	252383	496	0	247654	247730
g7852	Scaffolds_22	-	2	1	317376	317746	371			0	0	317069	317230
g5456	Scaffolds_19	-	3	2			0			0	0	497624	498117
g13294	Scaffolds_33	-	1	0			0			0	0		
g14893	Scaffolds_5	+	1	0			0	1212909	1213204	296	0		
g13961	Scaffolds_4	-	1	0			0			0	0		
g8504	Scaffolds_23	-	1	0			0			0	0		
g5005	Scaffolds_18	-	1	0			0			0	0		
g434	Scaffolds_0	+	3	2			0			0	0	1630811	1631086
g6800	Scaffolds_20	+	1	0			0			0	0		
g8725	Scaffolds_23	+	1	0			0			0	0		
g12761	Scaffolds_32	+	2	1			0	761469	761771	303	0	761021	761323
g2242	Scaffolds_14	-	1	0			0			0	0		
g5026	Scaffolds_18	-	5	4			0			0	0	2792863	2792903
g8275	Scaffolds_22	+	1	0			0			0	0		
g8817	Scaffolds_23	+	5	4			0	1938318	1938449	132	0	1937090	1937172
g15743	Scaffolds_8	-	1	0			0			0	0		
g15082	Scaffolds_6	+	1	0			0			0	0		
g8427	Scaffolds_23	+	4	3			0	347099	347255	157	0	343945	343996
g13713	Scaffolds_4	-	1	0			0			0	0		
g8403	Scaffolds_23	+	2	1			0	268191	268668	478	0	265794	265911
g105	Scaffolds_0	-	6	5	472791	473031	241			0	0	471701	471901
g15651	Scaffolds_8	+	2	1			0			0	0	1035942	1036424
g8398	Scaffolds_23	+	3	2			0	257589	257827	239	0	255901	256013
g9290	Scaffolds_24	-	1	0			0			0	0		
g11844	Scaffolds_3	-	1	0			0			0	0		
g1325	Scaffolds_11	-	1	0			0			0	0		
g6113	Scaffolds_2	+	1	0			0			0	0		
g12333	Scaffolds_31	-	1	0			0			0	0		
g8561	Scaffolds_23	+	1	0			0			0	0		
g4943	Scaffolds_18	-	1	0	2538203	2538625	423			0	0		
g7052	Scaffolds_21	+	1	0			0			0	0		
g6585	Scaffolds_20	-	1	0			0			0	0		
g4945	Scaffolds_18	+	1	0			0			0	0		
g1042	Scaffolds_10	-	2	1	792664	793195	532			0	0	792466	792624
g4672	Scaffolds_18	-	1	0			0			0	0		
g7347	Scaffolds_21	+	1	0			0			0	0		
g12927	Scaffolds_33	-	1	0			0			0	0		
g12622	Scaffolds_32	+	1	0			0			0	0		
g15637	Scaffolds_8	-	1	0			0			0	0		
g10635	Scaffolds_29	+	1	0			0	129413	130129	717	0		
g15027	Scaffolds_6	-	1	0			0			0	0		
g12519	Scaffolds_31	+	1	0			0			0	0		
g9062	Scaffolds_24	-	1	0			0			0	0		
g5837	Scaffolds_19	-	1	0			0			0	0		
g16037	Scaffolds_9	-	1	0			0			0	0		
g664	Scaffolds_1	+	1	0			0			0	0		
g8922	Scaffolds_24	+	1	0			0			0	0		
g5876	Scaffolds_19	+	1	0			0			0	0		
g3678	Scaffolds_16	-	3	2			0			0	0	1122643	1122802
g4252	Scaffolds_17	+	20	19			0			0	0	1694839	1694910
g13605	Scaffolds_33	-	1	0			0			0	0		
g2338	Scaffolds_14	+	1	0			0	986331	986715	385	0		
g2988	Scaffolds_15	-	1	0			0			0	0		
g16054	Scaffolds_9	+	1	0			0			0	0		
g8520	Scaffolds_23	-	2	1			0			0	0	707789	708909
g13391	Scaffolds_33	+	1	0			0			0	0		
g8459	Scaffolds_23	+	1	0			0			0	0		
g15473	Scaffolds_8	+	1	0			0			0	0		
g5490	Scaffolds_19	+	1	0			0			0	0		
g9030	Scaffolds_24	-	1	0			0			0	0		
g11199	Scaffolds_29	-	2	1			0			0	0	2275476	2276035
g10183	Scaffolds_26	-	1	0			0			0	0		
g170	Scaffolds_0	-	5	4			0			0	0	729775	729894
g7	Scaffolds_0	-	1	0			0			0	0		
g11665	Scaffolds_3	-	1	0			0			0	0		
g12221	Scaffolds_31	-	3	2			0			0	0	150484	150566
g16002	Scaffolds_9	+	1	0			0			0	0		
g3078	Scaffolds_15	-	2	1	1956016	1956033	18			0	0	1952429	1952755
g1594	Scaffolds_11	+	4	3			0			0	0	1200485	1200574
g10619	Scaffolds_29	-	1	0			0			0	0		
g5012	Scaffolds_18	+	4	3			0	2759713	2760107	395	0	2755167	2755233
g1331	Scaffolds_11	+	1	0			0			0	0		
g5109	Scaffolds_18	-	1	0			0			0	0		
g8676	Scaffolds_23	+	1	0			0			0	0		
g7694	Scaffolds_21	+	3	2			0	2560274	2560569	296	0	2557933	2558237
g15242	Scaffolds_7	-	1	0	154018	154272	255			0	0		
g1920	Scaffolds_13	+	4	3			0	593252	593661	410	0	589419	589584
g11821	Scaffolds_3	-	2	1			0			0	0	1296943	1297206
g3876	Scaffolds_17	+	2	1			0	392488	393893	1406	0	392090	392190
g3219	Scaffolds_15	-	1	0			0			0	0		
g15352	Scaffolds_7	+	1	0			0	548800	548995	196	0		
g6578	Scaffolds_20	+	1	0			0			0	0		
g9000	Scaffolds_24	-	1	0			0			0	0		
g1922	Scaffolds_13	+	2	1			0	597913	597982	70	0	596184	596334
g461	Scaffolds_0	+	1	0			0			0	0		
g11269	Scaffolds_29	+	2	1			0	2543052	2548106	5055	0	2542892	2542932
g11002	Scaffolds_29	-	2	1	1549342	1549836	495			0	0	1548852	1549284
g4846	Scaffolds_18	-	1	0			0			0	0		
g15772	Scaffolds_8	+	1	0			0			0	0		
g8696	Scaffolds_23	+	2	1			0	1387057	1387298	242	0	1386436	1386561
g8173	Scaffolds_22	-	1	0			0			0	0		
g8998	Scaffolds_24	-	1	0			0			0	0		
g3442	Scaffolds_16	+	1	0			0			0	0		
g8605	Scaffolds_23	-	3	2	1078174	1078520	347			0	0	1074370	1074519
g3341	Scaffolds_15	+	19	18			0	2918839	2918861	23	0	2911620	2912003
g578	Scaffolds_1	+	3	2			0	396029	396119	91	0	394511	394993
g12347	Scaffolds_31	+	1	0			0			0	0		
g602	Scaffolds_1	-	3	2	474171	474304	134			0	0	473431	473598
g4440	Scaffolds_18	-	1	0	751883	752386	504			0	0		
g11200	Scaffolds_29	-	1	0			0			0	0		
g1519	Scaffolds_11	-	1	0			0			0	0		
g3118	Scaffolds_15	-	1	0			0			0	0		
g3742	Scaffolds_16	+	2	1			0	1368697	1369041	345	0	1367952	1368252
g10676	Scaffolds_29	-	1	0			0			0	0		
g11910	Scaffolds_3	-	1	0			0			0	0		
g8981	Scaffolds_24	+	1	0			0			0	0		
g14027	Scaffolds_4	-	1	0			0			0	0		
g8930	Scaffolds_24	+	1	0			0			0	0		
g12026	Scaffolds_30	-	1	0			0			0	0		
g15282	Scaffolds_7	-	1	0			0			0	0		
g9949	Scaffolds_26	+	1	0			0			0	0		
g7774	Scaffolds_22	+	1	0			0			0	0		
g2915	Scaffolds_15	+	1	0			0			0	0		
g232	Scaffolds_0	+	1	0			0			0	0		
g3492	Scaffolds_16	-	1	0			0			0	0		
g7107	Scaffolds_21	-	1	0			0			0	0		
g4098	Scaffolds_17	+	1	0			0			0	0		
g9750	Scaffolds_26	-	1	0	117048	117089	42			0	0		
g8405	Scaffolds_23	+	1	0			0	277621	281035	3415	0		
g12214	Scaffolds_31	+	2	1			0	132775	133454	680	0	132614	132658
g6084	Scaffolds_2	+	1	0			0			0	0		
g8548	Scaffolds_23	+	1	0			0			0	0		
g3510	Scaffolds_16	+	1	0			0			0	0		
g6732	Scaffolds_20	-	1	0	1103397	1103717	321			0	0		
g9127	Scaffolds_24	+	1	0			0			0	0		
g5639	Scaffolds_19	+	1	0			0			0	0		
g4518	Scaffolds_18	+	2	1			0			0	0	1012294	1012839
g6538	Scaffolds_20	+	1	0			0			0	0		
g5093	Scaffolds_18	-	3	2	3037238	3037385	148			0	0	3036618	3036803
g9392	Scaffolds_25	+	1	0			0			0	0		
g11913	Scaffolds_3	+	1	0			0			0	0		
g11013	Scaffolds_29	+	1	0			0			0	0		
g5148	Scaffolds_18	-	1	0			0			0	0		
g15676	Scaffolds_8	-	2	1	1155150	1155319	170			0	0	1153460	1153638
g5941	Scaffolds_19	-	1	0	2123455	2123828	374			0	0		
g7871	Scaffolds_22	-	1	0			0			0	0		
g6686	Scaffolds_20	+	1	0			0			0	0		
g4207	Scaffolds_17	+	2	1			0	1529411	1529559	149	0	1528580	1528684
g3525	Scaffolds_16	-	2	1			0			0	0	621663	622190
g15849	Scaffolds_9	-	2	1	79879	79887	9			0	0	79271	79736
g5581	Scaffolds_19	+	2	1			0	907182	907737	556	0	906748	906867
g892	Scaffolds_10	+	1	0			0			0	0		
g14291	Scaffolds_4	+	1	0			0	2630410	2630755	346	0		
g907	Scaffolds_10	-	4	3			0			0	0	305136	305178
g11127	Scaffolds_29	-	1	0			0			0	0		
g14944	Scaffolds_6	+	1	0			0			0	0		
g10734	Scaffolds_29	-	1	0			0			0	0		
g7485	Scaffolds_21	+	3	2			0	1675113	1675166	54	0	1671655	1671715
g14571	Scaffolds_4	+	1	0			0			0	0		
g11004	Scaffolds_29	-	1	0			0			0	0		
g4382	Scaffolds_18	-	1	0			0			0	0		
g12890	Scaffolds_33	+	1	0			0			0	0		
g9661	Scaffolds_25	-	2	1			0			0	0	1226203	1226426
g13115	Scaffolds_33	+	1	0			0			0	0		
g1619	Scaffolds_11	-	1	0			0			0	0		
g3912	Scaffolds_17	+	1	0			0			0	0		
g15779	Scaffolds_8	+	1	0			0			0	0		
g6625	Scaffolds_20	-	1	0			0			0	0		
g9373	Scaffolds_25	+	1	0			0			0	0		
g3273	Scaffolds_15	+	1	0			0			0	0		
g10724	Scaffolds_29	+	1	0			0	479952	480213	262	0		
g8370	Scaffolds_23	+	1	0			0			0	0		
g15024	Scaffolds_6	-	1	0			0			0	0		
g13523	Scaffolds_33	+	1	0			0			0	0		
g12721	Scaffolds_32	+	4	3			0	626391	626711	321	0	623200	623275
g15333	Scaffolds_7	+	1	0			0			0	0		
g8774	Scaffolds_23	+	2	1			0	1776691	1776833	143	0	1776441	1776591
g15254	Scaffolds_7	+	1	0			0			0	0		
g3809	Scaffolds_17	-	1	0			0			0	0		
g16022	Scaffolds_9	-	1	0	687640	687815	176			0	0		
g7226	Scaffolds_21	-	1	0			0			0	0		
g9700	Scaffolds_25	+	1	0			0			0	0		
g15889	Scaffolds_9	+	1	0			0			0	0		
g10904	Scaffolds_29	+	1	0			0			0	0		
g14128	Scaffolds_4	-	1	0			0			0	0		
g16060	Scaffolds_9	-	1	0	797344	797742	399			0	0		
g12926	Scaffolds_33	+	1	0			0			0	0		
g8785	Scaffolds_23	+	4	3			0	1811345	1811619	275	0	1809519	1809812
g11209	Scaffolds_29	-	1	0			0			0	0		
g12813	Scaffolds_32	+	1	0			0			0	0		
g2059	Scaffolds_14	-	2	1			0			0	0	3044	3199
g11014	Scaffolds_29	+	1	0			0			0	0		
g4172	Scaffolds_17	-	2	1			0			0	0	1425498	1425541
g8779	Scaffolds_23	-	2	1			0			0	0	1786942	1787227
g15403	Scaffolds_8	+	3	2			0	182598	182914	317	0	180157	180457
g13982	Scaffolds_4	-	6	5	1484346	1485087	742			0	0	1483242	1483395
g3193	Scaffolds_15	-	1	0			0			0	0		
g3831	Scaffolds_17	+	1	0			0			0	0		
g7104	Scaffolds_21	-	3	2			0			0	0	255093	255161
g14149	Scaffolds_4	+	1	0			0	2103708	2103897	190	0		
g10012	Scaffolds_26	-	1	0			0			0	0		
g9174	Scaffolds_24	-	1	0			0			0	0		
g3571	Scaffolds_16	+	1	0			0			0	0		
g8347	Scaffolds_23	-	18	17	62066	62251	186			0	0	55453	55792
g13782	Scaffolds_4	-	2	1			0			0	0	739330	739915
g832	Scaffolds_1	+	1	0			0			0	0		
g2713	Scaffolds_15	-	1	0			0			0	0		
g10440	Scaffolds_28	+	1	0			0			0	0		
g14902	Scaffolds_5	+	3	2			0	1244431	1245215	785	0	1243087	1243402
g6026	Scaffolds_19	+	2	1			0			0	0	2426318	2426370
g14225	Scaffolds_4	-	1	0			0			0	0		
g122	Scaffolds_0	+	1	0			0			0	0		
g7553	Scaffolds_21	+	3	2			0	1968864	1968978	115	0	1967360	1967592
