query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
g1421.t1	8932.XP_005509356.1	5.27e-20	98.2	COG5199@1|root,KOG2046@2759|Eukaryota,39Q4D@33154|Opisthokonta,3BHY8@33208|Metazoa,3CWCY@33213|Bilateria,483KA@7711|Chordata,496KT@7742|Vertebrata,4GM8Z@8782|Aves	33208|Metazoa	Z	Thin filament-associated protein that is implicated in the regulation and modulation of smooth muscle contraction. It is capable of binding to actin, calmodulin, troponin C and tropomyosin. The interaction of calponin with actin inhibits the actomyosin Mg-ATPase activity	CNN2	GO:0001725,GO:0001775,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0002520,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005856,GO:0005911,GO:0006810,GO:0006887,GO:0006950,GO:0006955,GO:0006996,GO:0007010,GO:0007154,GO:0007165,GO:0007166,GO:0007275,GO:0008092,GO:0008150,GO:0009605,GO:0009611,GO:0009612,GO:0009628,GO:0009893,GO:0009987,GO:0010033,GO:0010468,GO:0010604,GO:0010628,GO:0012505,GO:0015629,GO:0016043,GO:0016192,GO:0019221,GO:0019222,GO:0023052,GO:0030054,GO:0030097,GO:0030100,GO:0030141,GO:0030334,GO:0030336,GO:0031410,GO:0031974,GO:0031982,GO:0031983,GO:0032432,GO:0032501,GO:0032502,GO:0032879,GO:0032940,GO:0032970,GO:0034097,GO:0034774,GO:0035580,GO:0035722,GO:0036230,GO:0040012,GO:0040013,GO:0042060,GO:0042119,GO:0042127,GO:0042221,GO:0042581,GO:0042641,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043232,GO:0043233,GO:0043299,GO:0043312,GO:0044422,GO:0044424,GO:0044430,GO:0044433,GO:0044444,GO:0044446,GO:0044464,GO:0045055,GO:0045321,GO:0045806,GO:0046903,GO:0048513,GO:0048518,GO:0048519,GO:0048523,GO:0048534,GO:0048731,GO:0048856,GO:0050764,GO:0050765,GO:0050789,GO:0050794,GO:0050896,GO:0051049,GO:0051051,GO:0051128,GO:0051129,GO:0051179,GO:0051234,GO:0051270,GO:0051271,GO:0051716,GO:0060205,GO:0060255,GO:0060627,GO:0065007,GO:0070013,GO:0070671,GO:0070820,GO:0070887,GO:0071214,GO:0071260,GO:0071310,GO:0071345,GO:0071349,GO:0071496,GO:0071840,GO:0097517,GO:0097708,GO:0099503,GO:0104004,GO:1904724,GO:2000145,GO:2000146	-	ko:K20526	-	-	-	-	ko00000,ko04131	-	-	-	CH,Calponin
g1422.t1	946362.XP_004993431.1	1.22e-65	227.0	2AC7E@1|root,2RYQR@2759|Eukaryota,3A3BJ@33154|Opisthokonta	33154|Opisthokonta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g1428.t1	1255043.TVNIR_3169	1.93e-69	234.0	COG0523@1|root,COG0523@2|Bacteria,1MVZV@1224|Proteobacteria,1RQDY@1236|Gammaproteobacteria,1WXVM@135613|Chromatiales	135613|Chromatiales	S	Cobalamin synthesis protein cobW C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	CobW_C,cobW
g1430.t1	1179773.BN6_34450	4.51e-17	92.8	COG0123@1|root,COG0123@2|Bacteria,2GJUH@201174|Actinobacteria,4EEMY@85010|Pseudonocardiales	201174|Actinobacteria	BQ	Histone deacetylase domain	hdaH	-	-	-	-	-	-	-	-	-	-	-	Hist_deacetyl
g1431.t1	33188.XP_002542151.1	1.66e-07	55.8	2E07R@1|root,2S7P4@2759|Eukaryota,3A961@33154|Opisthokonta,3P62Y@4751|Fungi,3QYFB@4890|Ascomycota,20HGF@147545|Eurotiomycetes,3B6ZE@33183|Onygenales	4751|Fungi	S	MAPEG family	-	-	-	-	-	-	-	-	-	-	-	-	MAPEG
g1432.t1	157072.XP_008878108.1	3.34e-278	771.0	COG1156@1|root,KOG1351@2759|Eukaryota	2759|Eukaryota	C	ATP hydrolysis coupled proton transport	ATP6V1B1	GO:0000041,GO:0000221,GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0000331,GO:0001503,GO:0001666,GO:0001678,GO:0001726,GO:0003008,GO:0003674,GO:0003779,GO:0003824,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005768,GO:0005769,GO:0005773,GO:0005774,GO:0005794,GO:0005829,GO:0005886,GO:0005902,GO:0005903,GO:0005911,GO:0006355,GO:0006357,GO:0006810,GO:0006811,GO:0006812,GO:0006826,GO:0006873,GO:0006874,GO:0006875,GO:0006885,GO:0006914,GO:0006950,GO:0006996,GO:0007010,GO:0007015,GO:0007035,GO:0007154,GO:0007155,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0007423,GO:0007588,GO:0007600,GO:0007605,GO:0008064,GO:0008092,GO:0008104,GO:0008150,GO:0008152,GO:0008219,GO:0008286,GO:0008324,GO:0009056,GO:0009268,GO:0009405,GO:0009506,GO:0009507,GO:0009536,GO:0009628,GO:0009653,GO:0009719,GO:0009725,GO:0009743,GO:0009746,GO:0009749,GO:0009756,GO:0009757,GO:0009790,GO:0009887,GO:0009889,GO:0009894,GO:0009987,GO:0010008,GO:0010033,GO:0010035,GO:0010038,GO:0010182,GO:0010243,GO:0010255,GO:0010468,GO:0010494,GO:0010506,GO:0010556,GO:0010639,GO:0010941,GO:0010942,GO:0012505,GO:0012506,GO:0015031,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0015399,GO:0015405,GO:0015672,GO:0015682,GO:0015833,GO:0015988,GO:0015991,GO:0016020,GO:0016021,GO:0016043,GO:0016241,GO:0016323,GO:0016324,GO:0016328,GO:0016462,GO:0016469,GO:0016471,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019219,GO:0019222,GO:0019725,GO:0019829,GO:0022603,GO:0022607,GO:0022610,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0023052,GO:0030001,GO:0030003,GO:0030004,GO:0030029,GO:0030036,GO:0030054,GO:0030139,GO:0030641,GO:0030659,GO:0030832,GO:0030833,GO:0030834,GO:0030835,GO:0030837,GO:0031090,GO:0031164,GO:0031224,GO:0031252,GO:0031323,GO:0031326,GO:0031329,GO:0031333,GO:0031410,GO:0031982,GO:0032271,GO:0032272,GO:0032501,GO:0032502,GO:0032535,GO:0032868,GO:0032869,GO:0032870,GO:0032956,GO:0032970,GO:0032991,GO:0033036,GO:0033043,GO:0033176,GO:0033178,GO:0033180,GO:0033181,GO:0033500,GO:0033572,GO:0034220,GO:0034284,GO:0034622,GO:0035770,GO:0036176,GO:0036293,GO:0036442,GO:0036464,GO:0042221,GO:0042470,GO:0042471,GO:0042472,GO:0042592,GO:0042593,GO:0042623,GO:0042625,GO:0042626,GO:0042886,GO:0042995,GO:0043067,GO:0043068,GO:0043209,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043242,GO:0043244,GO:0043248,GO:0043254,GO:0043434,GO:0043492,GO:0043583,GO:0043933,GO:0044085,GO:0044087,GO:0044232,GO:0044237,GO:0044248,GO:0044419,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044437,GO:0044440,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0044769,GO:0044877,GO:0045177,GO:0045184,GO:0045335,GO:0045851,GO:0046686,GO:0046961,GO:0048471,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048562,GO:0048568,GO:0048598,GO:0048731,GO:0048770,GO:0048839,GO:0048856,GO:0048878,GO:0050789,GO:0050793,GO:0050794,GO:0050801,GO:0050877,GO:0050896,GO:0050954,GO:0051015,GO:0051017,GO:0051128,GO:0051129,GO:0051171,GO:0051179,GO:0051234,GO:0051252,GO:0051452,GO:0051453,GO:0051493,GO:0051494,GO:0051693,GO:0051704,GO:0051716,GO:0055044,GO:0055065,GO:0055067,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0060142,GO:0060255,GO:0061572,GO:0061919,GO:0065003,GO:0065007,GO:0065008,GO:0070482,GO:0070887,GO:0071310,GO:0071322,GO:0071326,GO:0071331,GO:0071333,GO:0071375,GO:0071417,GO:0071495,GO:0071702,GO:0071705,GO:0071840,GO:0071944,GO:0072503,GO:0072507,GO:0072512,GO:0080090,GO:0090066,GO:0090596,GO:0090662,GO:0097435,GO:0097708,GO:0098588,GO:0098590,GO:0098609,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0098796,GO:0098797,GO:0098805,GO:0098852,GO:0098858,GO:0098862,GO:0099131,GO:0099132,GO:0110053,GO:0120025,GO:1901652,GO:1901653,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1901879,GO:1901880,GO:1902600,GO:1902903,GO:1902904,GO:1902906,GO:1903506,GO:1990816,GO:1990904,GO:2000112,GO:2001141	-	ko:K02147	ko00190,ko01100,ko04145,ko04150,ko04721,ko04966,ko05110,ko05120,ko05323,map00190,map01100,map04145,map04150,map04721,map04966,map05110,map05120,map05323	M00160	-	-	ko00000,ko00001,ko00002,ko04147	3.A.2.2	-	-	ATP-synt_ab,ATP-synt_ab_N
g1436.t1	65071.PYU1_T003899	1.63e-54	199.0	KOG0252@1|root,KOG0252@2759|Eukaryota,1MIPR@121069|Pythiales	121069|Pythiales	P	Inorganic phosphate transporter. Source PGD	-	-	-	-	-	-	-	-	-	-	-	-	Sugar_tr
g1439.t1	65071.PYU1_T003899	1.95e-52	194.0	KOG0252@1|root,KOG0252@2759|Eukaryota,1MIPR@121069|Pythiales	121069|Pythiales	P	Inorganic phosphate transporter. Source PGD	-	-	-	-	-	-	-	-	-	-	-	-	Sugar_tr
g1440.t1	112098.XP_008611145.1	4.69e-14	81.3	KOG0279@1|root,KOG0279@2759|Eukaryota	2759|Eukaryota	S	positive regulation of Golgi to plasma membrane protein transport	WDR31	-	-	-	-	-	-	-	-	-	-	-	WD40
g1441.t1	13333.ERN10415	6.19e-26	121.0	COG0515@1|root,KOG0192@2759|Eukaryota,37QUA@33090|Viridiplantae,3GH37@35493|Streptophyta	35493|Streptophyta	T	Protein kinase superfamily protein with octicosapeptide Phox Bem1p domain	-	GO:0001666,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004712,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0006082,GO:0006464,GO:0006468,GO:0006629,GO:0006720,GO:0006721,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009628,GO:0009685,GO:0009686,GO:0009719,GO:0009723,GO:0009725,GO:0009743,GO:0009744,GO:0009746,GO:0009750,GO:0009756,GO:0009966,GO:0009968,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010039,GO:0010104,GO:0010105,GO:0010182,GO:0010646,GO:0010648,GO:0010817,GO:0012505,GO:0016020,GO:0016053,GO:0016101,GO:0016102,GO:0016114,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0019752,GO:0023051,GO:0023052,GO:0023057,GO:0031984,GO:0034284,GO:0034285,GO:0036211,GO:0036293,GO:0040034,GO:0042175,GO:0042221,GO:0042445,GO:0042446,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0046394,GO:0046777,GO:0048506,GO:0048509,GO:0048510,GO:0048519,GO:0048523,GO:0048580,GO:0048583,GO:0048585,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051239,GO:0051302,GO:0051716,GO:0065007,GO:0065008,GO:0070297,GO:0070298,GO:0070482,GO:0070887,GO:0071241,GO:0071248,GO:0071281,GO:0071310,GO:0071322,GO:0071704,GO:0098827,GO:0140096,GO:1901564,GO:1901576,GO:1901700,GO:1901701,GO:1902531,GO:1902532,GO:2000026,GO:2000035,GO:2000069,GO:2000280	2.7.11.25	ko:K04422	ko04010,map04010	-	-	-	ko00000,ko00001,ko01000,ko01001	-	-	-	PB1,Pkinase_Tyr
g1442.t1	51511.ENSCSAVP00000010001	1.01e-05	55.8	KOG1721@1|root,KOG1721@2759|Eukaryota,38BZ9@33154|Opisthokonta,3BA9A@33208|Metazoa,3CT35@33213|Bilateria,4824W@7711|Chordata	33208|Metazoa	C	nucleic acid binding	-	-	-	ko:K09228	-	-	-	-	ko00000,ko03000	-	-	-	THAP,zf-AD,zf-C2H2,zf-C2H2_4,zf-C2H2_6,zf-C2H2_jaz,zf-met
g1443.t1	653948.CCA23456	1.27e-145	437.0	COG1736@1|root,KOG1995@1|root,KOG1995@2759|Eukaryota,KOG2648@2759|Eukaryota	2759|Eukaryota	J	Required for the first step in the synthesis of diphthamide, a post-translational modification of histidine which occurs in translation elongation factor 2	DPH1	GO:0003674,GO:0003700,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006352,GO:0006355,GO:0006366,GO:0006367,GO:0006396,GO:0006417,GO:0006448,GO:0006464,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008283,GO:0008380,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0010646,GO:0016070,GO:0017182,GO:0017183,GO:0018130,GO:0018193,GO:0018202,GO:0019219,GO:0019222,GO:0019438,GO:0019538,GO:0023051,GO:0030054,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0031981,GO:0032268,GO:0032774,GO:0034248,GO:0034641,GO:0034645,GO:0034654,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0045893,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0048583,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0070013,GO:0071704,GO:0080090,GO:0090304,GO:0097659,GO:0140110,GO:1900247,GO:1901360,GO:1901362,GO:1901564,GO:1901576,GO:1901796,GO:1902531,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2000765,GO:2001141	2.5.1.108	ko:K07561,ko:K13098,ko:K14651	ko03022,ko05202,map03022,map05202	-	R10455	RC00021,RC03180	ko00000,ko00001,ko01000,ko03012,ko03019,ko03021,ko03041	-	-	-	Diphthamide_syn,RRM_1,zf-RanBP
g1448.t1	157072.XP_008872322.1	9.43e-27	127.0	KOG1926@1|root,KOG1926@2759|Eukaryota	2759|Eukaryota	S	DNA-directed DNA polymerase activity	MYBBP1A	GO:0000182,GO:0000976,GO:0000977,GO:0000978,GO:0000987,GO:0001012,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003712,GO:0003714,GO:0003824,GO:0003887,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0006091,GO:0006139,GO:0006259,GO:0006351,GO:0006355,GO:0006356,GO:0006360,GO:0006725,GO:0006807,GO:0006915,GO:0006950,GO:0007154,GO:0007165,GO:0007623,GO:0008134,GO:0008150,GO:0008152,GO:0008219,GO:0008270,GO:0009058,GO:0009059,GO:0009267,GO:0009303,GO:0009605,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0009991,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010564,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0010941,GO:0010942,GO:0012501,GO:0015980,GO:0016070,GO:0016072,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0022900,GO:0022904,GO:0023052,GO:0031074,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031667,GO:0031668,GO:0031669,GO:0031974,GO:0031981,GO:0032501,GO:0032774,GO:0032922,GO:0032991,GO:0033554,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0034660,GO:0035556,GO:0040029,GO:0042149,GO:0042564,GO:0042594,GO:0042790,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043565,GO:0044087,GO:0044089,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045333,GO:0045787,GO:0045815,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0045943,GO:0046483,GO:0046872,GO:0046914,GO:0048511,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0051716,GO:0051726,GO:0055114,GO:0060255,GO:0065007,GO:0070013,GO:0070888,GO:0071156,GO:0071158,GO:0071496,GO:0071704,GO:0071897,GO:0072331,GO:0072332,GO:0080090,GO:0090068,GO:0090069,GO:0090070,GO:0090304,GO:0097159,GO:0097190,GO:0097193,GO:0097659,GO:0098781,GO:0140097,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901836,GO:1901838,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:1990837,GO:2000112,GO:2000113,GO:2000209,GO:2000210,GO:2001141	2.7.7.7,3.4.19.12	ko:K02331,ko:K11836	-	-	-	-	ko00000,ko01000,ko01002,ko03036,ko03400,ko04147	-	-	-	DNA_pol_phi
g1449.t1	45351.EDO39350	1.18e-05	57.0	2CJKR@1|root,2S5Q0@2759|Eukaryota,3A7QJ@33154|Opisthokonta,3BTJK@33208|Metazoa	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g1450.t1	7460.GB45214-PA	7.67e-08	63.2	KOG1841@1|root,KOG1841@2759|Eukaryota,38EZR@33154|Opisthokonta,3BEQN@33208|Metazoa,3CU1Z@33213|Bilateria,41XS3@6656|Arthropoda,3SKEG@50557|Insecta,46KP6@7399|Hymenoptera	33208|Metazoa	V	Domain of unknown function (DUF3480)	ZFYVE9	GO:0001709,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005543,GO:0005545,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005829,GO:0006508,GO:0006807,GO:0006810,GO:0006897,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007178,GO:0007179,GO:0008150,GO:0008152,GO:0008157,GO:0008233,GO:0008236,GO:0008289,GO:0008356,GO:0008593,GO:0009719,GO:0009966,GO:0009987,GO:0010008,GO:0010033,GO:0010646,GO:0012505,GO:0016020,GO:0016192,GO:0016787,GO:0017145,GO:0017171,GO:0019538,GO:0019899,GO:0019902,GO:0019903,GO:0019904,GO:0023051,GO:0023052,GO:0030154,GO:0031090,GO:0031410,GO:0031901,GO:0031982,GO:0032266,GO:0032502,GO:0032991,GO:0035091,GO:0036335,GO:0042221,GO:0042592,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044238,GO:0044422,GO:0044424,GO:0044433,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0045165,GO:0048583,GO:0048863,GO:0048865,GO:0048867,GO:0048869,GO:0048872,GO:0050789,GO:0050794,GO:0050896,GO:0051179,GO:0051234,GO:0051301,GO:0051716,GO:0065007,GO:0065008,GO:0070011,GO:0070848,GO:0070887,GO:0071310,GO:0071363,GO:0071495,GO:0071559,GO:0071560,GO:0071704,GO:0097708,GO:0098588,GO:0098657,GO:0098722,GO:0098805,GO:0140096,GO:1901564,GO:1901981	-	ko:K04679	ko04144,ko04350,map04144,map04350	-	-	-	ko00000,ko00001,ko01009	-	-	-	DUF3480,FYVE,SARA
g1451.t1	36331.EPrPI00000021012	1.14e-54	206.0	COG1084@1|root,COG5050@1|root,KOG1490@2759|Eukaryota,KOG2877@2759|Eukaryota,1MF71@121069|Pythiales	121069|Pythiales	I	CDP-alcohol phosphatidyltransferase. Source PGD	-	-	-	-	-	-	-	-	-	-	-	-	CDP-OH_P_transf
g1452.t1	159749.K0T6J9	1.88e-17	97.4	COG0457@1|root,KOG1840@2759|Eukaryota,2XE9Y@2836|Bacillariophyta	2836|Bacillariophyta	Z	Tetratricopeptide repeat	-	-	-	-	-	-	-	-	-	-	-	-	IU_nuc_hydro,TPR_12,TPR_8
g1453.t1	72558.CBQ71998	1.53e-17	87.0	KOG3211@1|root,KOG3211@2759|Eukaryota,38E44@33154|Opisthokonta,3NYWC@4751|Fungi,3V0BZ@5204|Basidiomycota,3N3PT@452284|Ustilaginomycotina	4751|Fungi	S	Repeated motif present between transmembrane helices in cystinosin, yeast ERS1p, mannose-P-dolichol utilization defect 1, and other hypothetical proteins.	-	-	-	ko:K09660	-	-	-	-	ko00000,ko01003	-	-	-	PQ-loop
g1454.t1	115417.EPrPW00000021623	1.51e-149	446.0	KOG0268@1|root,KOG0268@2759|Eukaryota,1MC5J@121069|Pythiales	121069|Pythiales	A	Source PGD	-	-	-	-	-	-	-	-	-	-	-	-	Sof1,WD40
g1456.t1	215358.XP_010748863.1	4.74e-27	127.0	KOG3607@1|root,KOG3607@2759|Eukaryota,38B6W@33154|Opisthokonta,3BEPS@33208|Metazoa,3CWJB@33213|Bilateria,484W7@7711|Chordata,48ZMT@7742|Vertebrata,49ZPV@7898|Actinopterygii	33208|Metazoa	O	A disintegrin and metallopeptidase domain 28	ADAM28	GO:0000003,GO:0003674,GO:0003824,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005886,GO:0006508,GO:0006807,GO:0007276,GO:0007283,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0016020,GO:0016787,GO:0019538,GO:0019953,GO:0022414,GO:0032501,GO:0032504,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0048232,GO:0048609,GO:0051704,GO:0070011,GO:0071704,GO:0071944,GO:0140096,GO:1901564	-	ko:K08614	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	ADAM_CR,Disintegrin,Pep_M12B_propep,Reprolysin
g1457.t1	65071.PYU1_T010318	3.28e-99	324.0	COG1132@1|root,KOG0058@2759|Eukaryota,1ME0C@121069|Pythiales	121069|Pythiales	U	ATP-binding Cassette (ABC) Superfamily. Source PGD	-	-	-	-	-	-	-	-	-	-	-	-	ABC_membrane,ABC_tran
g1460.t1	4513.MLOC_62785.1	3.64e-14	84.0	COG0457@1|root,COG0666@1|root,KOG0504@2759|Eukaryota,KOG0548@2759|Eukaryota,37HF2@33090|Viridiplantae,3G8J9@35493|Streptophyta,3M296@4447|Liliopsida,3IDRJ@38820|Poales	35493|Streptophyta	O	Ankyrin repeats (3 copies)	-	-	-	-	-	-	-	-	-	-	-	-	Ank_2,Ank_3,Ank_4,TPR_2,TPR_8
g1461.t1	4513.MLOC_62785.1	2.5e-14	84.0	COG0457@1|root,COG0666@1|root,KOG0504@2759|Eukaryota,KOG0548@2759|Eukaryota,37HF2@33090|Viridiplantae,3G8J9@35493|Streptophyta,3M296@4447|Liliopsida,3IDRJ@38820|Poales	35493|Streptophyta	O	Ankyrin repeats (3 copies)	-	-	-	-	-	-	-	-	-	-	-	-	Ank_2,Ank_3,Ank_4,TPR_2,TPR_8
g1462.t1	6669.EFX63258	6.38e-46	164.0	COG1024@1|root,KOG1680@2759|Eukaryota,38CIA@33154|Opisthokonta,3BAKH@33208|Metazoa,3CWFG@33213|Bilateria,41YR4@6656|Arthropoda	33208|Metazoa	I	Enoyl-CoA hydratase/isomerase	ECHDC1	GO:0003674,GO:0003824,GO:0004300,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0006082,GO:0006629,GO:0006631,GO:0006635,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009987,GO:0016042,GO:0016054,GO:0016829,GO:0016830,GO:0016831,GO:0016835,GO:0016836,GO:0019395,GO:0019752,GO:0030258,GO:0032787,GO:0034440,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046395,GO:0055114,GO:0071704,GO:0072329,GO:1901575	4.1.1.41,4.1.1.94	ko:K18426	ko00640,map00640	-	R00923	RC00097	ko00000,ko00001,ko01000	-	-	-	ECH_1
g1464.t1	6500.XP_005096819.1	0.000102	51.2	2CI02@1|root,2S8YD@2759|Eukaryota,3A8CJ@33154|Opisthokonta,3BTXT@33208|Metazoa,3CXDV@33213|Bilateria	33208|Metazoa	S	positive regulation of double-strand break repair via homologous recombination	C5orf45	GO:0000018,GO:0000075,GO:0000077,GO:0000278,GO:0001932,GO:0001934,GO:0003674,GO:0003682,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0006282,GO:0006950,GO:0006974,GO:0007049,GO:0007093,GO:0007095,GO:0007346,GO:0008104,GO:0008150,GO:0009314,GO:0009628,GO:0009893,GO:0009987,GO:0010212,GO:0010389,GO:0010562,GO:0010564,GO:0010569,GO:0010604,GO:0010948,GO:0010972,GO:0019219,GO:0019220,GO:0019222,GO:0022402,GO:0031323,GO:0031325,GO:0031399,GO:0031401,GO:0031570,GO:0031572,GO:0031974,GO:0031981,GO:0032268,GO:0032270,GO:0033036,GO:0033365,GO:0033554,GO:0033674,GO:0034502,GO:0034613,GO:0042325,GO:0042327,GO:0043085,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043549,GO:0044093,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0044773,GO:0044774,GO:0044818,GO:0045739,GO:0045786,GO:0045859,GO:0045860,GO:0045911,GO:0045930,GO:0045935,GO:0045937,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051052,GO:0051054,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051246,GO:0051247,GO:0051338,GO:0051347,GO:0051641,GO:0051716,GO:0051726,GO:0060255,GO:0065007,GO:0065009,GO:0070013,GO:0070727,GO:0071168,GO:0080090,GO:0080134,GO:0080135,GO:1901987,GO:1901988,GO:1901990,GO:1901991,GO:1902749,GO:1902750,GO:1903047,GO:1905168,GO:2000779,GO:2000781,GO:2001020,GO:2001022,GO:2001032	-	-	-	-	-	-	-	-	-	-	MRNIP
